,afr,amh,ara,asm,ast,azj,bel,bul,ben,bos,cat,ceb,ces,cym,dan,deu,ell,eng,spa,est,fas,ful,fin,fra,gle,glg,guj,hau,heb,hin,hrv,hun,hye,ind,ibo,isl,ita,jpn,jav,kat,kam,kea,kaz,khm,kan,kor,kur,kir,ltz,lug,lin,lao,lit,luo,lav,mri,mkd,mal,mon,mar,msa,mlt,mya,npi,nld,nob,nso,nya,oci,orm,ory,pan,pol,pus,por,ron,rus,snd,slk,slv,sna,som,srp,swe,swh,tam,tel,tgk,tha,tgl,tur,ukr,umb,urd,uzb,vie,wol,xho,yor,zho_simp,zul,zho_trad
hye,11.03,0.63,6.1,0.3,6.09,1.75,0.85,14.82,8.05,8.42,11.11,0.46,10.61,5.92,11.96,10.98,11.14,15.1,10.4,11.61,8.86,0.01,9.03,15.1,0.33,12.4,0.2,0.34,8.62,11.06,8.12,9.94,-,11.27,0.8,7.28,10.24,7.05,4.55,2.43,0.05,0.12,0.34,3.49,0.54,6.03,0.02,0.35,4.66,0.02,0.16,0.87,11.91,0.23,10.38,0.63,13.3,2.64,2.11,3.55,9.42,14.34,1.04,0.12,9.4,9.93,0.17,3.16,8.03,0.15,0.05,2.05,7.82,4.17,13.69,13.32,10.77,0.02,10.78,10.48,2.29,0.46,11.39,11.45,7.75,1.18,0.29,1.02,3.49,2.28,6.32,11,0.18,5.8,0.18,13.17,0.06,0.74,0.21,6.52,0.83,0
ind,23.99,1.28,14.03,1.42,20.41,4.3,2.35,28.18,19.41,22.13,22.75,8.55,23.74,12.25,28.3,23.15,21.09,33.74,20.67,22.84,19.36,0.85,18.79,30.81,0.51,25.93,0.38,2.92,18.5,22.18,23,21.79,3.45,-,1.88,16.2,21.49,21.05,16.57,2.25,0.24,2.79,0.83,6.91,0.85,16.08,0.11,1.48,12.25,0.55,0.81,4.17,22.81,2.47,23.57,1.93,26.43,5,5.1,3.58,29.48,24.97,2.34,0.17,21.58,22.53,1.18,6.37,17.23,0.4,0.07,3.78,17.98,8.45,30.71,28.15,20.7,0.08,24.27,22.52,4.98,2.68,22.58,27.65,19.75,1.36,0.66,2.58,10.48,8.06,20.49,21.56,0.77,11.34,1.2,31.4,0.7,2.61,1.23,17.41,2.8,0
ibo,4.81,1.18,1.85,0.18,3.73,1.17,2.03,5.26,2.56,2.8,5.11,4.51,3.97,4.35,4.87,4.16,4.89,7.37,5.16,3.91,3.39,0.29,3.37,6.02,0.8,5.42,0.56,1.96,3.28,3.27,4.14,3.67,1.12,5.74,-,4.07,4.72,2.99,2.85,0.6,0.12,0.27,1.18,1.87,0.56,1.92,0.03,0.37,3.56,0.78,0.82,1.22,4.25,1.59,3.68,1.61,4.95,1.2,0.82,1.5,4.86,6.35,0.64,1.24,4.52,4.85,1.11,3.43,4.02,0.22,0.17,0.9,4.02,1.39,6.45,5.23,3.95,0.05,4.06,3.76,2.83,2.58,3.85,4.88,4.38,0.97,0.37,1.12,2.01,5.42,2.58,3.9,0.65,1.89,0.55,5.94,0.65,2.44,1.54,3.83,3.15,0
isl,19.86,1.24,11.05,1.03,16.41,6.08,6.09,21.63,14.68,17.51,18.94,6.93,18.67,9.67,24.8,19.93,16.27,25.02,16.78,18.83,15.25,0.4,16.86,24.71,0.4,20.66,0.41,2.38,14.16,16.75,18.45,17.62,3.37,21.73,1.94,-,17.8,16.62,10.75,2.14,0.2,1.94,1.65,5.92,0.78,12.62,0.08,1.17,11.21,0.4,0.73,4,18.73,2,18.56,2.05,20.79,7.44,3.67,7.14,19.05,18.83,1.94,0.55,17.61,19.03,1.07,5.49,14.1,0.4,0.1,3.31,14.58,6.35,23.72,22.36,17.14,0.07,19.58,18.92,4.32,2.33,18.74,23.29,16.99,2.84,0.54,2.35,7.61,11.49,15.36,16.84,0.79,9.68,1,23.62,0.53,2.5,1.27,13.2,2.48,0
ita,22.03,1.23,13.38,1.31,22.44,7.19,3.45,28.52,18.1,21.07,25.2,8.89,23.57,10.62,27.56,24.2,22.09,28.74,24.52,22.09,18.24,0.21,19.46,34.39,0.42,29.23,0.33,2.17,17.83,20.57,22.38,22.55,3.74,24.37,1.65,15.05,-,19.84,11.71,2.56,0.19,2.52,0.79,6.23,0.68,15,0.09,1.47,13.93,0.31,0.75,3.36,22.57,2.02,10.3,1.85,26.19,9.16,4.7,8.99,21.69,23.29,2.27,0.46,21.99,21.86,0.94,5.43,18.71,0.34,0.21,3.48,19.12,7.59,31.47,29.52,21.41,0.07,24.37,23.41,4.47,2.02,22.54,26.42,19.22,2.24,0.49,1.97,8.97,11,19.59,21.35,0.81,11.27,0.8,27.07,0.6,2.2,1.21,15.46,2.55,0
jpn,14.85,1.2,10.3,1.37,13.87,5.66,4.52,20.19,16.05,15.05,15.88,4.98,17.09,7.18,18.34,16.27,16.33,19.45,15.69,16.63,14.28,0.2,14.75,21.86,0.34,18.02,0.39,1.54,13.3,17.86,15.45,16.74,2.68,18.1,1.15,11.38,16.02,-,7.91,2.03,0.1,1.16,1.24,4.99,0.89,18.47,0.07,1.4,8.98,0.1,0.39,3.13,17.54,0.89,15.02,1.06,18.92,8.77,4.46,7.57,16.26,15.89,1.96,0.62,16.08,14.85,0.5,3.55,11.5,0.19,0.17,3.08,14.12,5.63,20.44,19.31,15.34,0.09,16.86,16.28,2.95,1.17,16.73,17.76,14.02,3.1,0.45,1.95,6.34,9.3,14.43,15.02,0.37,10,0.73,22.12,0.27,1.48,0.57,15.69,1.66,0
jav,14.97,1.74,7.08,0.97,12.86,5.38,5.89,15.85,11.31,12.5,13.86,10.68,12.73,10.16,15.94,12.82,13.11,20.96,13.49,12.88,11.39,0.55,10.85,18.24,0.91,15.64,1.12,3.54,10.93,13.35,12.39,12.92,3,22.78,2.47,10.32,13.09,11.3,-,2.33,0.24,1.38,3.19,6.47,1.11,8.3,0.11,1.22,9.79,0.65,0.89,4.96,12.93,2.6,12.91,1.98,15.73,5.61,3.34,6.14,18.95,17.95,2.08,4.45,12.53,14.22,1.61,6.73,12.09,0.46,0.21,3.6,10.94,5.68,17.98,16.68,11.99,0.11,13.4,13.09,5.04,2.89,13.82,15.37,14.23,3.8,0.68,2.94,7.25,12.05,11.61,12.07,0.84,7.25,1.12,18.58,0.71,3.56,1.69,9.2,3.19,0
kat,8.45,0.84,4.54,0.36,4.82,2.42,1.28,11.71,6.56,6.22,9.2,0.95,7.97,5.15,8.05,7.98,9.48,11.07,9.14,9.72,7.06,0.02,7.74,12.62,0.31,10.62,0.22,0.53,6.82,8.97,4.86,9.17,2.37,8.63,0.88,5.67,9.12,6.86,4.26,-,0.05,0.22,0.12,3.56,0.77,5.09,0.02,0.33,3.64,0.03,0.19,0.73,10.37,0.28,9.49,0.86,10.76,2.65,2.13,3.21,7.4,12.34,0.98,0.22,7.66,7.79,0.23,3.03,6.46,0.18,0.07,2.1,7.01,3.67,10.98,10.15,8.26,0.02,8.44,7.75,2.27,0.6,9.35,8.24,5.2,1.05,0.36,0.68,2.94,2.36,5.28,9.07,0.27,4.5,0.25,10.46,0.08,0.92,0.3,5.18,0.82,0
kam,4.7,0.67,1.25,0.33,4,1.6,1.79,5.08,2.82,2.57,5.2,3.61,4.04,3.64,4.43,4.5,4.05,7.46,5.41,3.6,2.97,0.57,3.17,5.65,0.86,5.31,0.48,2.52,3.46,3.95,3.82,4.64,0.7,5.71,1.86,3.72,4.65,3.47,3.92,0.6,-,0.46,1.56,1.42,0.31,2.3,0.03,0.49,3.68,0.79,1.47,1.25,3.98,2.4,3.02,2.34,4.84,0.92,0.84,1.63,5.7,4.98,0.4,1.04,4.82,4.63,1.37,3.63,4.38,0.41,0.18,0.81,3.99,1.19,5.87,4.94,3.88,0.06,4.2,3.97,2.15,2.26,3.66,4.76,4.48,0.6,0.31,1.22,1.76,4.66,2.5,3.51,1.03,1.57,0.54,5.17,0.81,2.89,1.34,4.5,2.81,0
kea,12.22,0.93,4.68,0.44,11.77,3.25,3.7,13.11,6.34,7.31,14.22,5.46,10.63,6.54,12.78,11.04,10.3,16.76,13.74,10.19,8.48,0.89,8.44,16.95,0.84,16.39,0.44,2.4,7.84,9.09,9.57,11.12,1.17,12.95,2.14,7.9,13.23,8.78,6.91,1.05,0.25,-,1.67,3.05,0.5,6.35,0.07,0.89,6.7,0.91,1.2,1.7,10.07,2.09,9,2.03,12.71,2.61,1.53,3.01,11.28,13.68,0.9,0.91,11.11,11.61,1.44,3.72,11.73,0.3,0.19,1.42,8.88,2.24,19.58,14.56,9.74,0.07,10.9,9.96,2.44,2.38,9.78,12.63,9.1,1.11,0.39,1.72,3.02,6.92,7.27,9.24,0.99,4.33,0.63,14.66,1.17,2.33,1.28,8.33,2.15,0
kaz,6.7,0.89,1.72,0.35,5.22,2.39,3.74,9.96,4.27,6.31,6.21,2.32,6.02,4.76,6.51,5.7,7.84,8,7.17,7.86,5.17,0.08,6.24,8.92,0.45,7.55,0.34,1.11,5.1,5.88,5.71,5.17,1.17,6.81,0.92,5.29,7.29,3.86,4.18,1.03,0.12,0.3,-,2.41,0.59,3.26,0.04,1.04,4.55,0.09,0.38,1.63,7.94,0.89,7.68,0.95,9.65,1.75,3,2.73,5.24,7,0.92,1.28,6.5,6.12,0.45,2.32,5.53,0.14,0.19,2.01,5.98,2.48,8.71,7.96,7.79,0.03,6.81,6.68,1.59,0.78,7.68,6.62,4.69,1.17,0.22,1.15,1.98,5.02,2.86,8.28,0.35,2.87,0.56,7.96,0.19,1.25,0.49,4.08,1.34,0
khm,11.21,1.02,6.74,0.52,8.51,3.76,3.15,13.21,8.93,9.28,11.13,4.03,10.4,6.87,13.37,10.39,10.71,15.68,10.82,10.85,9.64,0.31,8.8,14.92,0.57,12.6,0.91,1.57,7.49,10.37,9.85,10.45,2.62,13.84,1.73,8.87,10.52,9.83,6.97,1.91,0.16,0.89,1.69,-,0.82,7.73,0.07,0.61,7.31,0.33,0.56,5.94,10.36,1.24,10.9,1.36,11.89,4.51,2.64,4.89,12.62,13.92,2.25,1.46,10.23,10.88,0.89,4.61,8.35,0.28,0.13,2.62,8.92,4.42,14.17,13.84,9.92,0.06,10.82,10.54,3.29,1.67,11.23,12.07,10.7,3.01,0.44,1.77,9.73,6.86,9.27,10.03,0.58,6.31,0.59,16.88,0.46,2.03,0.73,8.72,2.06,0
kan,3.44,0.65,1.07,0.29,1.79,0.98,1.26,4.28,5.08,2.01,4.15,0.79,3.34,2.39,2.99,2.86,4.43,5.02,2.97,3.87,2.64,0.03,3.17,5.06,0.32,4.25,0.71,0.41,2.58,6.75,2.78,3.52,0.66,3.36,0.61,2.58,3.83,2.34,2,0.59,0.05,0.08,0.45,1.2,-,1.89,0.03,0.17,2.56,0.06,0.18,0.54,4.18,0.24,3.73,0.6,4.21,2.91,0.87,3.24,3.01,5.17,0.7,2.15,2.96,3.33,0.22,1.27,2.47,0.12,0.13,7.41,2.58,2.04,4.77,4.98,2.25,0.08,3.1,3.41,0.93,0.46,3.88,3.28,2.76,1.65,0.25,0.65,1,2.66,1.65,2.74,0.19,3.23,0.15,4.5,0.06,0.41,0.19,2.05,0.57,0
kor,15.72,1.21,10.57,1.52,14.45,6.64,4.58,21.06,16.44,15.76,16.53,5,17.05,7.59,19.45,16.7,15.92,20.92,15.39,17.26,15.1,0.29,14.87,22.09,0.32,18.4,0.43,1.8,13.59,18.67,16.49,17.36,3.24,19.13,1.34,11.77,16.31,22.27,8.47,2.1,0.14,1.51,1.01,5.27,1.17,-,0.09,1.33,8.88,0.19,0.54,2.89,17.98,1.16,9.27,1.23,19.44,8.43,4.87,7.69,17.79,16.88,1.91,0.91,16.21,14.92,0.7,4.33,12.18,0.28,0.22,3.18,14.05,5.88,21.27,20.56,15.46,0.08,17.9,17.35,3.3,1.44,17.42,18.91,15.05,3.96,0.56,2.11,7.3,8.37,15.63,15.77,0.5,10.29,0.78,23.1,0.32,1.88,0.78,15.7,1.92,0
kur,6.66,0.74,3.78,0.39,4.32,2.11,2.06,7.59,4.93,4.61,6.49,2.42,5.64,4.28,6.96,5.32,5.43,7.65,5.82,5.27,6.53,0.04,3.93,8.24,0.32,7,0.5,0.76,4.83,7.01,4.89,5.81,1.64,6.76,0.71,4.36,5.15,4.79,3.28,1.04,0.06,0.2,0.61,2.18,0.52,3.21,-,0.34,4.61,0.05,0.23,1.42,5.71,0.53,5.7,0.85,7.17,2.74,1.05,2.79,6.28,8.23,0.76,0.41,5.5,5.6,0.33,2.46,4.71,0.08,0.07,1.79,4.44,2.64,7.8,7.14,5.51,0.04,5.66,5.96,1.46,0.63,5.72,6.12,5.61,1.56,0.29,1.17,2.59,4.4,3.98,5.25,0.23,4.68,0.24,8.43,0.07,0.77,0.3,3.64,0.89,0
kir,9.56,1.13,6.3,0.63,6.64,5.32,5.74,13.84,9.34,8.01,10.3,3.34,9.8,5.28,10.77,9.51,11.09,11.39,10.91,10.09,9.52,0.12,8.72,13.75,0.36,11.74,0.38,1.09,8.58,11.73,9.11,10.27,1.74,10.92,0.96,7.25,10.36,11.82,5.11,1.32,0.12,0.42,3,3.42,0.61,8.47,0.04,-,6.07,0.17,0.4,1.57,11.13,0.94,11.18,0.88,12.63,4.56,3.42,5.17,8.95,11.47,1.5,1,9.83,8.97,0.6,2.84,8.7,0.15,0.19,1.87,8.39,3.61,12.99,11.33,11.55,0.06,10.16,9.96,2.22,0.95,11.35,9.84,8.58,2.25,0.39,1.94,3.78,5.71,9.07,11.41,0.34,6.3,0.69,13.28,0.28,1.43,0.53,8.84,1.6,0
ltz,21.67,1.26,7.25,0.8,16.05,5.52,8.23,21.89,13.07,17.51,18.32,10.08,19,9.78,25,28.06,16.19,26.82,17.56,18.81,13.74,0.39,15.58,26.33,0.59,22.29,0.45,2.37,13.35,14.99,16.8,16.75,3.6,19.77,1.82,12.81,19.36,11.13,10.64,2.33,0.18,1.17,3.55,5.07,0.73,8.73,0.08,1.16,-,0.38,0.7,3.52,17.53,1.94,16.85,1.79,21.56,5.86,3.72,6.57,16.51,18.85,1.84,0.61,19.82,21.17,1.11,4.89,15.67,0.35,0.17,3.61,14.83,6.89,25.2,23.08,16.91,0.07,20.48,17.94,3.71,1.93,19.3,23.19,14.45,3.03,0.47,2.51,6.63,12.06,11.22,17.06,0.67,8.22,0.86,20.6,0.52,2.52,1.24,10.92,2.43,0
lug,3.35,0.51,0.8,0.25,2.92,0.89,0.78,3.58,1.46,1.6,3.94,3.44,3.02,2.69,2.18,3.19,3.1,4.45,3.96,2.73,1.62,0.51,2.3,4.33,1.01,3.69,0.25,1.39,1.64,1.76,2.51,2.35,0.46,3.04,1.85,3.18,3.68,1.95,1.58,0.18,0.14,0.42,0.79,1,0.24,1.05,0.05,0.34,2.62,-,1.09,0.93,3.2,2.04,2.37,1.59,3.68,0.64,0.37,0.9,3.15,3.93,0.2,0.73,3.61,3.84,1.69,1.74,3.58,0.24,0.23,0.38,2.73,0.64,4.56,3.41,2.11,0.11,2.86,2.61,1.73,1.89,2.6,3.25,2.72,0.43,0.17,0.69,0.69,4.31,1.63,2.06,0.71,0.69,0.38,2.59,0.67,2.07,0.73,2.82,2.3,0
lin,3.12,0.47,0.75,0.24,3.35,0.94,0.98,3.82,1.26,1.56,4.2,3.47,2.82,2.1,2.86,3.12,2.77,4.57,3.85,2.86,1.64,0.25,2.4,5.52,0.94,3.93,0.21,1.1,2,1.52,2.79,2.09,0.43,3.11,1.9,3.23,3.92,1.58,1.32,0.24,0.14,0.51,0.8,0.85,0.17,1.05,0.05,0.31,3.02,0.74,-,1.01,3.47,1.36,2.33,0.93,3.21,0.6,0.37,0.71,2.87,3.93,0.26,0.92,3.87,3.79,1,1.53,3.41,0.22,0.15,0.33,2.89,0.65,4.61,3.25,2.67,0.1,2.85,2.84,1.49,1.86,2.27,3.66,2.38,0.39,0.16,0.52,0.66,3.56,1.61,2.43,0.68,0.81,0.32,2.78,0.65,1.95,0.52,2.51,2.15,0
lao,8.03,0.64,3.85,0.29,4.68,1.76,2.69,9.81,5.49,4.07,8.63,3.09,6.99,4.06,6.61,7.41,8.56,11.66,8.08,8.3,5.78,0.07,6.56,11.21,0.52,9.15,0.6,0.92,5.18,7.17,5.42,8.52,1.26,10.62,1.18,5.33,8.37,5.62,5.96,0.87,0.15,0.7,1.35,6.54,0.38,4.35,0.03,0.35,4.92,0.39,0.35,-,8.23,0.99,7.2,1.12,8.59,2.11,1.41,2.18,10.1,10.03,1.57,2.1,6.61,7.98,0.61,3.42,5.24,0.18,0.11,1.37,6.27,2.47,11.2,10.71,6.61,0.05,7.19,7.39,2.74,1.19,7.59,7.29,8.29,1.23,0.33,1.25,6.72,6.14,5.19,6.67,0.49,3.12,0.3,12.43,0.28,1.49,0.55,6.21,1.82,0
lit,20.59,1.19,12.7,1.31,19.36,7.34,6.85,28.16,17,22.48,21.52,5.23,23.81,9.66,25.38,22.87,20.86,27.03,20.05,23.41,17.71,0.22,19.95,29.47,0.37,24.57,0.36,2.11,17.18,20.19,22.99,21.59,3.72,23.49,1.45,14.45,21.8,19.71,10.68,2.54,0.17,1.74,0.55,5.8,0.84,14.6,0.06,1.63,12.23,0.24,0.5,2.75,-,1.58,26.03,1.38,25.96,7.93,5.25,7.46,20.57,21.03,2.03,0.18,20.66,20.23,0.72,4.86,16.26,0.26,0.06,3.32,19.97,7.14,27.67,26.32,22.62,0.07,24.53,23.57,4.09,1.73,22.96,24.57,16.22,1.43,0.45,2.66,8.82,7.98,18.38,22.72,0.61,10.8,1.05,26.09,0.34,2.13,0.87,15.93,2.31,0
luo,5.27,0.74,1.54,0.25,3.87,1.38,1.87,4.92,2.44,2.55,5.2,4.53,4.07,3.9,4.36,4.38,4.61,7.43,5.82,4.03,2.72,0.37,3.53,5.98,0.79,5.4,0.53,2.09,3.35,3.77,4.07,4.37,0.74,5.81,1.6,4.12,5.13,3.38,3.14,0.51,0.16,0.4,1.59,1.36,0.34,2.54,0.04,0.45,3.23,0.63,0.89,1.12,4.25,-,3.27,2.08,4.97,1.01,0.75,1.42,5.56,4.96,0.48,0.91,4.64,4.63,1.13,3.49,4.42,0.37,0.16,0.65,4.46,1.11,6.51,5.2,3.7,0.06,4.38,3.95,2,2.25,3.82,5.14,4.34,0.62,0.26,1.16,1.52,4.97,2.3,3.78,0.88,1.35,0.38,5.31,0.63,2.85,1.32,4.78,2.57,0
lav,17.39,1.07,11.56,1.38,7.25,8.01,1.51,13.7,17.97,21.99,20.37,4.09,6.88,7.5,9.82,13.35,21.54,28.82,20.05,25.54,16.01,0.08,21.35,30.21,0.32,25.13,0.19,1.7,16.53,21.71,7.25,22.6,3.16,22.98,0.82,13.92,13.5,13.94,10.26,2.06,0.09,0.69,0.59,5.47,0.89,7.06,0.06,1.6,9.12,0.08,0.3,0.69,27.36,0.92,-,1.19,17.95,8.05,4.84,8.05,20.56,10.47,1.92,0.16,8.34,14.28,0.42,4.95,15.25,0.22,0.11,3.46,8.64,7.19,28.61,12.6,13.95,0.03,12.27,9.08,3.52,1.22,7.81,13.7,17.85,1.57,0.54,1.53,1.64,10.54,19.06,13.38,0.33,12.11,0.84,14.69,0.11,1.74,0.57,10.5,1.8,0
mri,4.64,0.51,0.94,0.22,3.46,1,2.09,4.15,1.85,2.39,4.68,4.83,3.25,4.09,4.23,3.45,3.55,6.71,4.71,3.26,2.27,0.15,2.77,5.18,1.29,4.87,0.48,1.52,2.23,2.66,3.37,3.49,0.57,4.73,1.65,3.72,4.7,2.54,2.99,0.41,0.15,0.45,1.44,1.12,0.25,1.4,0.05,0.46,3.43,0.46,0.83,1.26,3.26,2.17,2.66,-,4.44,0.6,0.57,1.14,4.76,3.92,0.29,0.94,4.02,3.85,1.46,2.8,3.64,0.32,0.14,0.54,3.45,0.9,5.34,4.44,3.18,0.07,3.41,2.95,2.13,2.16,3.46,4.22,3.17,0.46,0.27,0.78,1.28,4.18,1.93,2.77,0.95,1.21,0.66,4.06,0.45,2.67,1.24,3.24,2.64,0
mkd,25.02,1.33,14.96,1.47,23.72,7.87,3.84,35.22,19.55,29.46,25.21,7.41,27.56,10.49,30.27,26.34,23.61,33.68,22.47,25.1,20.54,0.24,21.15,33.98,0.34,28.51,0.35,1.95,20.84,23.1,28.58,23.42,4.36,27.43,1.3,15.8,24.57,21.09,11.93,2.62,0.13,1.74,1.07,5.68,1.01,16.48,0.09,1.78,13.17,0.14,0.44,3.4,25.97,1.24,22.13,1.24,-,8.98,5.78,8.94,23.49,24.25,2.36,0.71,22.94,23.81,0.61,5.4,18.45,0.26,0.19,3.79,20.53,8.03,32.45,31.2,25.63,0.07,28.76,27.63,4.26,1.47,32.21,29.23,20.61,3.29,0.53,3.22,8.98,8.56,20.27,26.55,0.43,13.04,1.04,29.37,0.29,1.88,0.76,17.61,1.98,0
mal,13.13,1.4,7.44,1.16,10.05,5.07,4.39,15.73,15.33,10.83,12.99,4.57,12.39,6.98,15.04,11.98,11.59,17.93,11.29,12.69,11.81,0.09,10.2,17.23,0.36,13.74,0.44,1.33,10.4,16.76,11.24,11.84,2.88,14.11,0.99,8.89,11.98,12.73,6.61,2.07,0.07,0.48,1.11,4.53,1.93,9.76,0.05,0.8,8.16,0.1,0.28,2.69,12.19,0.71,13.63,0.87,14.68,-,3.58,8.39,12.65,14.58,2.01,0.75,12.01,11.85,0.49,3.55,9.76,0.13,0.17,4.5,9.14,5.55,15.91,15.17,11.4,0.08,12.73,12.71,2.49,0.9,13.32,14.06,12.02,4.95,0.59,1.8,6.01,7.46,10.85,11.7,0.23,10.26,0.49,16.98,0.16,1.27,0.37,9.34,1.32,0
mon,11.4,1.43,7.83,0.87,9,4.81,6.59,15.01,11.7,8.07,11.84,5.81,10.91,6.07,12.4,10.61,11.68,14.46,11,11.97,10.97,0.11,9.75,15.51,0.65,12.98,1.42,1.15,9.31,12.34,10.26,11.87,2.39,13.64,1.22,8.95,11.19,12.62,6.46,1.92,0.11,0.52,4.04,4.96,1.13,9.63,0.06,1.04,7.03,0.23,0.27,3.06,11.75,0.96,12.92,0.91,14.23,6.19,-,6.08,11.98,13.83,1.95,5.83,10.56,10.48,0.67,3.75,8.87,0.16,0.18,2.85,8.99,4.3,14.92,13.38,11.05,0.07,11.47,11.13,2.6,0.99,13.19,11.62,10.89,4.2,0.51,2.1,5.89,8.37,9.97,11.71,0.36,7.21,0.63,16.01,0.26,1.51,0.54,9.94,1.61,0
mar,13.46,1.28,7.39,1.7,8.8,4.56,3.59,15.98,17.11,11.28,13.55,4.31,12.21,7,14.58,12.62,12.58,18.72,11.82,12.55,12.19,0.14,10.18,16.57,0.38,13.92,0.51,1.35,10.21,21.34,11.47,11.74,3.01,13.9,1.07,9.17,12.39,13.15,7,1.9,0.1,0.56,0.71,4.62,1.73,10.68,0.07,0.82,7.77,0.11,0.28,2.32,12.9,0.99,13.59,0.95,14.78,8.18,4.02,-,12.91,13.54,1.96,1.34,11.83,11.66,0.61,3.51,9.62,0.18,0.24,5.59,9.89,6.49,16.36,15.55,11.71,0.1,12.3,12.5,2.59,1.14,13.29,14.18,11.04,4.37,0.52,1.9,5.47,5.77,10.61,12.09,0.3,11.68,0.62,17.43,0.16,1.62,0.5,9.83,1.58,0
msa,23.94,1.52,13.66,1.43,18.56,5.15,3.19,26.6,18.96,20.34,22.11,6.66,22.26,12.26,26.42,22.74,20.18,34.25,19.44,21.32,18.28,0.56,17.9,29.62,0.54,24.39,0.39,3.01,17.52,21.72,20.95,20.48,3.41,32.09,2.08,14.96,20.63,19.88,15.17,2.29,0.24,2.81,0.86,7.53,1.11,14.86,0.09,1.27,11.74,0.63,0.8,4.04,21.21,2.45,21.34,2.1,24.01,6.79,5.54,7.57,-,23.34,2.5,0.32,20.26,21.6,1.25,6.65,16.04,0.41,0.17,4.2,16.87,8.27,29,26.76,19.68,0.12,23.09,20.94,5.32,2.76,21.99,26.59,20.62,2.23,0.75,2.99,9.7,9.57,19.41,20.17,0.89,11.64,1.07,29.41,0.62,2.88,1.41,15.93,3,0
mlt,28.41,1.22,15.33,1.22,21.66,7.38,2.68,31.25,19.73,23.64,27.5,6.47,26.35,11.01,33.15,27.46,22.73,49.19,23.93,24.39,20.33,0.97,21.02,36.96,0.42,31.27,0.22,3.11,20.36,23.47,24.22,24.2,2.69,30.49,2.45,16.45,25.42,19.93,12.07,1.71,0.4,2.28,0.62,6.1,0.75,15.8,0.1,1.42,13.94,0.54,0.58,2.15,24.4,2.89,24.79,1.81,29.39,8.32,3.47,8.85,26.29,-,1.77,0.2,22.92,26.13,1.48,6.56,21.94,0.39,0.11,2.8,18.77,7.72,37.46,33.34,22.86,0.07,27.43,24.56,5.56,2.57,26.46,31.69,23.29,1.67,0.77,2.78,5.59,5.73,21.74,23.99,0.71,12.91,0.83,30.79,1.01,2.78,1.53,16.48,1.82,0
mya,7.39,0.82,4.58,0.42,4.98,2.72,1.37,9.5,7.52,6.08,8.46,1.65,7.01,4.83,8.27,6.92,8.09,10.03,7.81,7.21,7.14,0.08,6.05,10.42,0.32,8.87,0.67,0.72,5.95,9.08,7.16,7.25,1.96,9,0.98,6.19,7.81,7.45,4.54,1.26,0.07,0.3,0.82,4.9,0.75,6.07,0.03,0.39,4.77,0.08,0.3,2.35,7.37,0.59,8.29,0.91,8.75,4.12,1.9,4.3,7.8,10.21,-,0.73,7.06,7.46,0.4,2.99,6.35,0.13,0.12,2.33,5.78,3.47,9.92,9.79,6.68,0.04,7.52,7.43,2.32,0.8,8.09,8.54,7.15,2.49,0.35,1.12,5.57,4.12,6.28,6.81,0.25,5.5,0.33,12.17,0.15,1.15,0.34,5.7,1.12,0
npi,8.23,1.05,2.75,0.82,6.11,2.46,3.49,9.69,9.08,6.93,7.46,2.56,7.26,4.98,7.38,7.62,8.55,10.79,7.96,8.24,5.65,0.08,6.94,10.67,0.54,9.64,0.68,1.06,5.45,13.94,5.96,6.63,1.41,8.13,1,6.17,8.45,5.82,4.55,1.43,0.12,0.39,1.7,2.77,1.39,4.95,0.05,0.56,5.37,0.28,0.32,1.58,8.05,0.94,7.92,0.88,9.88,3.61,2.49,7.43,7.43,8.16,1.24,-,7.44,7.41,0.63,2.74,6.1,0.21,0.27,3.75,6.64,4.08,10.47,9.88,6.7,0.09,8.11,7.74,1.87,0.87,8.33,8.48,6.8,2.22,0.41,1.07,2.67,5.78,4.44,7.49,0.45,6.28,0.46,9.68,0.17,1.27,0.63,5.59,1.25,0
nld,21.49,1.07,11.81,1.21,20.14,6.61,6.89,25.07,16.22,19.96,21.15,7.7,21.9,10.29,26.15,23.06,18.89,27.7,19.8,20.8,16.06,0.42,18.65,28.82,0.35,23.83,0.4,2.77,15.98,18.93,20.58,21.06,3.7,22.64,1.73,14.15,21.33,18.56,10.97,2.38,0.21,2.58,1.8,6.3,0.9,13.74,0.08,1.6,12.88,0.39,0.85,3.54,21.14,2.21,10.43,1.78,23.67,7.74,4.84,7.5,19.93,22.73,2.22,0.64,-,21.23,1.23,5.92,15.91,0.46,0.17,3.58,17.3,7.38,26.93,24.8,18.85,0.08,22.76,21.5,4.5,2.34,20.95,25.54,17.43,2.17,0.65,2.68,8.25,10.45,18.32,19.3,0.76,10.9,1.15,24.89,0.61,2.37,1.21,15.2,2.59,0
